iter	Passed	Remaining
562	6184	4800
563	6194	4788
564	6205	4777
565	6215	4766
566	6225	4754
567	6235	4742
568	6246	4731
569	6256	4720
570	6267	4708
571	6277	4697
572	6288	4685
573	6298	4674
574	6308	4662
575	6318	4651
576	6328	4639
577	6340	4629
578	6350	4617
579	6366	4610
580	6384	4604
581	6399	4596
582	6419	4591
583	6429	4580
584	6440	4568
585	6454	4559
586	6472	4553
587	6483	4542
588	6494	4531
589	6510	4524
590	6521	4512
591	6531	4501
592	6540	4489
593	6551	4478
594	6562	4466
595	6571	4454
596	6581	4443
597	6591	4431
598	6601	4419
599	6611	4407
600	6620	4395
601	6631	4383
602	6640	4372
603	6651	4361
604	6661	4349
605	6671	4337
606	6681	4325
607	6691	4314
608	6701	4302
609	6711	4291
610	6721	4279
611	6731	4267
612	6742	4256
613	6751	4244
614	6761	4232
615	6772	4221
616	6782	4209
617	6792	4198
618	6802	4186
619	6812	4175
620	6822	4163
621	6832	4151
622	6842	4140
623	6851	4128
624	6861	4117
625	6872	4105
626	6881	4093
627	6891	4082
628	6901	4070
629	6912	4059
630	6922	4047
631	6931	4036
632	6941	4024
633	6951	4013
634	6961	4001
635	6972	3990
636	6983	3979
637	6992	3967
638	7002	3956
639	7012	3944
640	7022	3933
641	7032	3921
642	7042	3910
643	7054	3899
644	7064	3888
645	7074	3876
646	7084	3865
647	7094	3853
648	7104	3842
649	7114	3831
650	7124	3819
651	7134	3808
652	7145	3797
653	7155	3785
654	7165	3773
655	7175	3762
656	7185	3751
657	7195	3739
658	7205	3728
659	7215	3717
660	7225	3705
661	7235	3694
662	7244	3682
663	7254	3670
664	7264	3659
665	7274	3648
666	7284	3637
667	7294	3625
668	7304	3614
669	7315	3603
670	7324	3591
671	7339	3582
672	7353	3572
673	7364	3562
674	7376	3551
675	7387	3540
676	7399	3530
677	7409	3518
678	7419	3507
679	7429	3496
680	7438	3484
681	7448	3472
682	7457	3461
683	7467	3449
684	7477	3438
685	7487	3427
686	7496	3415
687	7506	3404
688	7516	3392
689	7527	3381
690	7536	3370
691	7547	3359
692	7557	3347
693	7567	3336
694	7576	3325
695	7586	3313
696	7598	3303
697	7615	3294
698	7628	3285
699	7639	3274
700	7650	3263
701	7664	3253
702	7674	3242
703	7685	3231
704	7695	3220
705	7705	3208
706	7716	3197
707	7725	3186
708	7736	3175
709	7746	3163
710	7756	3152
711	7766	3141
712	7776	3130
713	7786	3118
714	7796	3107
715	7807	3096
716	7817	3085
717	7827	3074
718	7837	3062
719	7849	3052
720	7864	3043
721	7881	3034
722	7896	3025
723	7906	3013
724	7916	3002
725	7926	2991
726	7941	2982
727	7951	2970
728	7960	2959
729	7970	2948
730	7980	2936
731	7990	2925
732	8000	2914
733	8010	2902
734	8020	2891
735	8030	2880
736	8040	2869
737	8050	2857
738	8060	2846
739	8070	2835
740	8080	2824
741	8090	2813
742	8099	2801
743	8110	2790
744	8120	2779
745	8130	2768
746	8142	2757
747	8152	2746
748	8162	2735
749	8173	2724
750	8183	2713
751	8193	2702
752	8203	2691
753	8213	2679
754	8223	2668
755	8233	2657
756	8243	2646
757	8253	2635
758	8262	2623
759	8273	2612
760	8283	2601
761	8294	2590
762	8304	2579
763	8313	2568
764	8323	2556
765	8333	2545
766	8343	2534
767	8353	2523
768	8363	2512
769	8373	2501
770	8383	2490
771	8394	2479
772	8404	2468
773	8414	2457
774	8424	2445
775	8434	2434
776	8443	2423
777	8454	2412
778	8464	2401
779	8481	2392
780	8493	2381
781	8504	2370
782	8514	2359
783	8525	2348
784	8537	2338
785	8547	2327
786	8557	2316
787	8567	2304
788	8576	2293
789	8587	2282
790	8596	2271
791	8607	2260
792	8618	2249
793	8628	2238
794	8638	2227
795	8649	2216
796	8658	2205
797	8669	2194
798	8678	2183
799	8692	2173
800	8706	2163
801	8716	2151
802	8726	2140
803	8736	2129
804	8746	2118
805	8755	2107
806	8765	2096
807	8775	2085
808	8785	2074
809	8796	2063
810	8806	2052
811	8816	2041
812	8825	2030
813	8835	2018
814	8846	2008
815	8856	1996
816	8866	1985
817	8876	1974
818	8886	1963
819	8897	1953
820	8907	1941
821	8916	1930
822	8927	1919
823	8937	1908
824	8947	1898
825	8957	1886
826	8967	1875
827	8978	1865
828	8988	1853
829	8999	1843
830	9008	1832
831	9018	1821
832	9030	1810
833	9040	1799
834	9050	1788
835	9060	1777
836	9070	1766
837	9079	1755
838	9095	1745
839	9110	1735
840	9119	1724
841	9129	1713
842	9140	1702
843	9149	1691
844	9160	1680
845	9170	1669
846	9180	1658
847	9190	1647
848	9200	1636
849	9210	1625
850	9219	1614
851	9229	1603
852	9240	1592
853	9249	1581
854	9259	1570
855	9269	1559
856	9279	1548
857	9291	1537
858	9300	1526
859	9311	1515
860	9320	1504
861	9330	1493
862	9340	1482
863	9350	1471
864	9360	1460
865	9370	1449
866	9380	1438
867	9391	1428
868	9401	1417
869	9411	1406
870	9421	1395
871	9431	1384
872	9441	1373
873	9450	1362
874	9461	1351
875	9471	1340
876	9481	1329
877	9491	1318
878	9500	1307
879	9512	1297
880	9523	1286
881	9532	1275
882	9543	1264
883	9553	1253
884	9563	1242
885	9573	1231
886	9583	1220
887	9593	1209
888	9603	1199
889	9613	1188
890	9624	1177
891	9634	1166
892	9644	1155
893	9654	1144
894	9664	1133
895	9675	1123
896	9692	1112
897	9706	1102
898	9717	1091
899	9726	1080
900	9736	1069
901	9746	1058
902	9756	1048
903	9766	1037
904	9776	1026
905	9786	1015
906	9795	1004
907	9805	993
908	9816	982
909	9825	971
910	9835	960
911	9844	949
912	9854	939
913	9864	928
914	9874	917
915	9884	906
916	9894	895
917	9904	884
918	9913	873
919	9923	862
920	9933	852
921	9943	841
922	9953	830
923	9963	819
924	9973	808
925	9983	797
926	9993	786
927	10002	776
928	10013	765
929	10023	754
930	10033	743
931	10043	732
932	10053	721
933	10063	711
934	10073	700
935	10083	689
936	10093	678
937	10104	667
938	10115	657
939	10134	646
940	10149	636
941	10166	625
942	10180	615
943	10190	604
944	10201	593
945	10210	582
946	10220	572
947	10230	561
948	10240	550
949	10250	539
950	10260	528
951	10269	517
952	10280	507
953	10290	496
954	10300	485
955	10310	474
956	10320	463
957	10330	452
958	10342	442
959	10351	431
960	10362	420
961	10371	409
962	10381	398
963	10392	388
964	10402	377
965	10412	366
966	10421	355
967	10432	344
968	10442	334
969	10451	323
970	10462	312
971	10471	301
972	10481	290
973	10491	280
974	10502	269
975	10512	258
976	10523	247
977	10532	236
978	10543	226
979	10552	215
980	10562	204
981	10572	193
982	10582	183
983	10592	172
984	10602	161
985	10615	150
986	10628	139
987	10640	129
988	10656	118
989	10670	107
990	10679	96
991	10689	86
992	10699	75
993	10708	64
994	10719	53
995	10728	43
996	10738	32
997	10748	21
998	10759	10
999	10769	0
