iter	Logloss
0	0.652041875
1	0.6142072497
2	0.5819951783
3	0.5499074694
4	0.5218114325
5	0.4983527223
6	0.4778487414
7	0.4594650934
8	0.4416968191
9	0.4262800017
10	0.4128111941
11	0.4009659946
12	0.3910395881
13	0.3812945491
14	0.3738276498
15	0.3671204869
16	0.3596820377
17	0.3542367875
18	0.3484644051
19	0.3443631095
20	0.3400616676
21	0.335764785
22	0.332368359
23	0.3293516564
24	0.3257432534
25	0.3229746313
26	0.3201736676
27	0.3178212301
28	0.3160161983
29	0.313851922
30	0.3119319909
31	0.3102726225
32	0.3084831891
33	0.3069152183
34	0.3056576719
35	0.3046908258
36	0.3035622753
37	0.3025799901
38	0.3016821354
39	0.3007455897
40	0.300018051
41	0.2994513008
42	0.2988330309
43	0.2983127226
44	0.2977893344
45	0.2972059643
46	0.2966099155
47	0.2961059886
48	0.295632905
49	0.2951953686
50	0.2948225479
51	0.294397783
52	0.2940660893
53	0.2938493431
54	0.2935765125
55	0.293250761
56	0.2930451761
57	0.2927131849
58	0.2923691604
59	0.2921230523
60	0.2918647549
61	0.2915174711
62	0.2913147149
63	0.2910601543
64	0.2907671339
65	0.2904494298
66	0.2902180725
67	0.2900103594
68	0.2897212366
69	0.2895298997
70	0.2894026533
71	0.2890497378
72	0.2889082173
73	0.28876087
74	0.2885513363
75	0.288389455
76	0.2883021174
77	0.2881156298
78	0.2877323541
79	0.2873669487
80	0.2872084357
81	0.287029498
82	0.2868746991
83	0.2867042529
84	0.2865483534
85	0.2861261451
86	0.2859373171
87	0.2858038514
88	0.2856970986
89	0.2855934647
90	0.2854514759
91	0.2853692387
92	0.2852094052
93	0.2851232173
94	0.2849810132
95	0.2848547065
96	0.2847220278
97	0.2846093373
98	0.2844805128
99	0.2844190627
100	0.2842977213
101	0.2841726658
102	0.2840845747
103	0.2838999066
104	0.2838215031
105	0.28373978
106	0.283570102
107	0.2834496926
108	0.2834112938
109	0.2832667344
110	0.2831440019
111	0.2830502363
112	0.2827644784
113	0.2826482217
114	0.282386249
115	0.2823099888
116	0.2822411578
117	0.2820841532
118	0.2819677017
119	0.2819219151
120	0.2818338626
121	0.2817470395
122	0.2816117412
123	0.2815534011
124	0.2814237737
125	0.2811447877
126	0.2810642646
127	0.2809880544
128	0.280950253
129	0.2808799459
130	0.280797399
131	0.2805701596
132	0.2804601062
133	0.2803826688
134	0.2802758985
135	0.2802124291
136	0.2801300125
137	0.2799447
138	0.2798764778
139	0.2797631659
140	0.2796751686
141	0.2796245861
142	0.2795811956
143	0.2795236636
144	0.2793790091
145	0.2793303023
146	0.2792549261
147	0.2790369833
148	0.2789907747
149	0.2789350991
150	0.27885636
151	0.2787047064
152	0.2786039562
153	0.2785447415
154	0.2784027504
155	0.278336662
156	0.2782261503
157	0.2781725735
158	0.278103827
159	0.2778891282
160	0.2778012751
161	0.2776831121
162	0.2774757957
163	0.2774051346
164	0.2773649732
165	0.2772873778
166	0.277246568
167	0.2771528312
168	0.2770718646
169	0.2770313458
170	0.2770014957
171	0.2767726066
172	0.2766534666
173	0.2765345254
174	0.2765032108
175	0.2764630684
176	0.2763377312
177	0.2762744345
178	0.2762221984
179	0.2761063935
180	0.2759194898
181	0.2758788094
182	0.2758067469
183	0.275732281
184	0.2756305063
185	0.2755549901
186	0.2755103382
187	0.2754562092
188	0.2753586698
189	0.2752700068
190	0.2752023246
191	0.275125788
192	0.2750287861
193	0.2749757711
194	0.274900301
195	0.274861748
196	0.2748028025
197	0.2747263062
198	0.274666695
199	0.2745842345
200	0.2745325451
201	0.2744309585
202	0.2743861316
203	0.2743257225
204	0.2742633901
205	0.274192811
206	0.2741358739
207	0.2740634062
208	0.2739704657
209	0.2739408222
210	0.2738819594
211	0.2737847199
212	0.2737160739
213	0.2736638659
214	0.2734809167
215	0.2732690486
216	0.2732415221
217	0.273164646
218	0.2731141035
219	0.2730761611
220	0.2730180113
221	0.2729365833
222	0.2728518234
223	0.2727948692
224	0.2727184888
225	0.2726579753
226	0.2726183457
227	0.2725908418
228	0.2725029082
229	0.2724488113
230	0.2723545812
231	0.272309246
232	0.2722449137
233	0.2721017778
234	0.2720625075
235	0.2719416283
236	0.2718793498
237	0.2718164667
238	0.2717438692
239	0.2716377987
240	0.2715685074
241	0.2715431627
242	0.2714796204
243	0.2713285177
244	0.2712357759
245	0.2711844815
246	0.2711290841
247	0.2709810129
248	0.2708893144
249	0.2707897212
250	0.2707584876
251	0.2706300466
252	0.2705432535
253	0.2704428391
254	0.2703766836
255	0.2702712725
256	0.2701973093
257	0.2701241911
258	0.2699265291
259	0.2698568131
260	0.2698013091
261	0.2697595009
262	0.2697242716
263	0.2695232981
264	0.2693481301
265	0.2692801107
266	0.2692115786
267	0.2691111262
268	0.2690290319
269	0.2689773465
270	0.2689041699
271	0.2688291753
272	0.268724099
273	0.2686792985
274	0.2685980888
275	0.2684771843
276	0.2683913309
277	0.2683112705
278	0.2682161239
279	0.2681376555
280	0.2680531301
281	0.2679575667
282	0.2678942991
283	0.2678447807
284	0.267780636
285	0.2676886429
286	0.2675896383
287	0.2675203296
288	0.2673744718
289	0.2673187929
290	0.2672574094
291	0.2671501946
292	0.2670654101
293	0.2669753207
294	0.2669144552
295	0.266816095
296	0.2667580958
297	0.266590079
298	0.2664551336
299	0.2663200281
300	0.2662450903
301	0.2661819106
302	0.2661432502
303	0.2660552033
304	0.2659855432
305	0.2658847247
306	0.2658348687
307	0.2657699123
308	0.2656159805
309	0.2655199843
310	0.2654332239
311	0.2653474684
312	0.2652958823
313	0.2652261315
314	0.2651703586
315	0.2650586376
316	0.2649245475
317	0.2648479601
318	0.2647691079
319	0.2646992179
320	0.2645678479
321	0.2645017622
322	0.2644426214
323	0.2643062514
324	0.2642588307
325	0.2641850205
326	0.2641224048
327	0.2640239217
328	0.2639373737
329	0.2638292556
330	0.263748865
331	0.2636781675
332	0.2636356717
333	0.2635294894
334	0.2634537598
335	0.263395833
336	0.2633461711
337	0.2632538464
338	0.2632124889
339	0.2631350339
340	0.2630651014
341	0.2630143548
342	0.2629391897
343	0.2628963308
344	0.2628376214
345	0.2627869329
346	0.2627489531
347	0.2626165548
348	0.2625303173
349	0.2624705513
350	0.2623811166
351	0.2623348702
352	0.2622766987
353	0.2622379376
354	0.2621886421
355	0.2621010282
356	0.2620425641
357	0.26197467
358	0.2619084772
359	0.2618303227
360	0.2617960046
361	0.2617358036
362	0.2616818431
363	0.2616384232
364	0.2615830224
365	0.2615092868
366	0.2614563156
367	0.261412132
368	0.2613279519
369	0.2612719855
370	0.2611606966
371	0.2611107558
372	0.2610241486
373	0.2608918011
374	0.260784191
375	0.2607030114
376	0.2605927598
377	0.2605069576
378	0.2604248367
379	0.2603607248
380	0.2603057301
381	0.2602399317
382	0.2602022364
383	0.2601416294
384	0.2600885615
385	0.2599902549
386	0.2599249149
387	0.2598729316
388	0.25980662
389	0.2597195046
390	0.2595742423
391	0.2595430315
392	0.2594814543
393	0.25938481
394	0.2593004905
395	0.2592319195
396	0.2591635293
397	0.2590579668
398	0.2590130499
399	0.2589539665
400	0.2588615338
401	0.2587847498
402	0.2587489021
403	0.258705921
404	0.2586647613
405	0.258614746
406	0.2585234374
407	0.2584737037
408	0.2584457659
409	0.2583672844
410	0.2583049834
411	0.2582583246
412	0.2582173482
413	0.2581439585
414	0.2580138348
415	0.2579036098
416	0.2578076994
417	0.2577598349
418	0.2577057365
419	0.2576483389
420	0.2575910111
421	0.2575427213
422	0.2574959792
423	0.2574261039
424	0.2573604464
425	0.2572870589
426	0.2572415266
427	0.2571904589
428	0.2571510032
429	0.2570778377
430	0.2570132427
431	0.2569224721
432	0.2568468443
433	0.2567997015
434	0.2567597355
435	0.2566887931
